,City,lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,Tarakan,3.3,117.6333,296.97,89,100,3.8,ID,1645466319
241,Termez,37.2242,67.2783,289.2,23,40,3.09,UZ,1645466319
242,Puerto Cabezas,14.0351,-83.3888,302.13,79,75,5.14,NI,1645466320
243,East London,-33.0153,27.9116,294.67,78,0,2.57,ZA,1645466320
244,Ostrogozhsk,50.8664,39.0756,272.14,95,41,2.99,RU,1645466320
245,Faanui,-16.4833,-151.75,300.24,77,94,8.91,PF,1645466321
246,Zhezkazgan,47.8043,67.7144,264.24,88,93,2.62,KZ,1645466321
247,Stokmarknes,68.5646,14.9108,269.54,73,0,4.12,NO,1645466321
248,Bethel,41.3712,-73.414,285.51,45,78,2.24,US,1645466322
249,Baharly,38.4362,57.4316,283.92,50,100,1.44,TM,1645466322
250,Ouadda,8.0777,22.4007,297.19,17,19,2.55,CF,1645466322
251,Bacolod City,10.6667,122.95,298.16,81,99,3.91,PH,1645466322
252,Nanortalik,60.1432,-45.2371,262.94,73,12,8.33,GL,1645466323
253,Liverpool,53.4106,-2.9779,282.38,82,20,6.69,GB,1645466213
254,Longyearbyen,78.2186,15.6401,254.06,78,20,1.03,SJ,1645466323
255,Dodola,6.9833,39.1833,287.65,62,100,1.3,ET,1645466323
256,Fairbanks,64.8378,-147.7164,263.32,76,100,0.52,US,1645466324
257,Severnyy,50.677,36.5532,278.17,65,0,3.0,RU,1645466324
258,Ngunguru,-35.6167,174.5,291.02,83,5,3.8,NZ,1645466324
259,Manakara,-22.1333,48.0167,297.59,94,76,3.75,MG,1645466325
260,Chepareria,1.3077,35.2039,291.33,76,100,0.58,KE,1645466325
261,Andenes,69.3143,16.1194,265.14,73,40,2.57,NO,1645466325
262,Antalaha,-14.9003,50.2788,299.39,81,100,0.89,MG,1645466326
263,Nantucket,41.2835,-70.0995,283.22,84,52,6.41,US,1645466326
264,Diffa,13.3154,12.6113,297.2,12,15,3.29,NE,1645466326
265,Laem Sing,12.4816,102.0738,301.01,100,74,3.79,TH,1645466327
266,Caçu,-18.5567,-51.1308,301.58,64,32,1.86,BR,1645466327
267,Yulara,-25.2406,130.9889,295.06,40,0,3.09,AU,1645466327
268,Kongolo,-5.3833,27.0,294.81,89,80,0.64,CD,1645466327
269,Porto Santo,33.072,-16.3415,291.65,72,40,7.2,PT,1645466328
270,Mar del Plata,-38.0023,-57.5575,295.16,86,75,7.72,AR,1645466213
271,Camacupa,-12.0167,17.4833,290.23,97,97,1.29,AO,1645466388
272,Pont-Audemer,49.35,0.5167,283.48,75,60,10.09,FR,1645466388
273,San Cristobal,7.7669,-72.225,294.25,31,68,0.38,VE,1645466389
274,Saint-Joseph,-21.3667,55.6167,299.35,90,100,11.12,RE,1645466389
275,Cockburn Town,21.4612,-71.1419,300.13,61,75,5.66,TC,1645466367
276,La Baule-Escoublac,47.2922,-2.364,284.19,71,100,5.66,FR,1645466389
277,Creel,27.75,-107.6333,282.99,59,50,13.02,MX,1645466390
278,George Town,5.4112,100.3354,302.01,87,40,6.26,MY,1645466292
279,Arman',59.7,150.1667,247.28,81,6,3.32,RU,1645466390
280,Chui,-33.6971,-53.4616,298.76,64,72,4.81,UY,1645466390
281,Mahébourg,-20.4081,57.7,300.51,94,40,9.77,MU,1645466391
282,Rondonópolis,-16.4708,-54.6356,300.89,78,63,3.71,BR,1645466391
283,Guaranda,-1.6,-79.0,296.32,95,80,3.46,EC,1645466391
284,Las Vegas,36.175,-115.1372,291.06,25,0,11.32,US,1645465881
285,Libreville,0.3925,9.4537,300.63,76,93,2.88,GA,1645466392
286,Huarmey,-10.0681,-78.1522,297.08,77,85,4.0,PE,1645466392
287,Campo Grande,-20.4428,-54.6464,303.9,51,40,6.69,BR,1645466218
288,Gobabis,-22.45,18.9667,297.1,50,95,5.18,NA,1645466392
289,Dossor,47.5272,52.9811,278.04,85,100,2.68,KZ,1645466393
290,Vao,-22.6667,167.4833,299.59,80,100,5.13,NC,1645466393
291,Port Blair,11.6667,92.75,296.17,88,40,1.03,IN,1645466393
292,Hay River,60.8156,-115.7999,245.14,76,20,5.66,CA,1645466394
293,Bluefields,12.0137,-83.7635,302.19,79,40,5.14,NI,1645466394
294,Wajima,37.4,136.9,273.42,82,100,6.83,JP,1645466394
295,Port Elizabeth,-33.918,25.5701,293.76,77,0,5.66,ZA,1645466181
296,Diamantino,-14.4086,-56.4461,296.9,89,88,3.4,BR,1645466395
297,Dongsheng,39.8161,109.9776,260.15,70,9,2.98,CN,1645466395
298,Kambove,-10.8764,26.5969,289.73,90,90,1.66,CD,1645466395
299,Batemans Bay,-35.7167,150.1833,292.15,94,100,2.96,AU,1645466396
300,Belinsky,52.9647,43.4165,270.63,97,97,4.46,RU,1645466396
301,Villarrica,-25.75,-56.4333,307.55,36,79,1.03,PY,1645466396
302,Clarence Town,-32.5833,151.7833,296.96,97,100,1.28,AU,1645466396
303,Tegul'det,57.3064,88.1667,262.85,96,25,2.38,RU,1645466397
304,Sitka,57.0531,-135.33,268.6,68,42,2.88,US,1645466156
305,Zhigansk,66.7697,123.3711,250.87,97,100,5.87,RU,1645466397
306,Necochea,-38.5473,-58.7368,294.28,73,64,7.44,AR,1645466397
307,Weligama,5.9667,80.4167,298.91,83,83,0.46,LK,1645466398
308,West Bay,19.3667,-81.4167,302.19,73,40,7.72,KY,1645466398
309,Manacapuru,-3.2997,-60.6206,305.47,73,96,2.13,BR,1645466398
310,Iquitos,-3.7481,-73.2472,305.17,62,75,4.63,PE,1645466238
311,Ayr,55.4627,-4.6339,280.65,76,20,6.17,GB,1645466399
312,San Martín,-33.081,-68.4681,289.45,70,100,5.97,AR,1645466399
313,Edd,13.9297,41.6925,297.7,75,89,4.19,ER,1645466400
314,Fortuna,40.5982,-124.1573,280.33,85,100,0.0,US,1645466400
315,Waingapu,-9.6567,120.2641,298.04,87,100,3.48,ID,1645466400
316,Sørland,67.667,12.6934,273.07,54,82,1.51,NO,1645466401
317,Castro,-24.7911,-50.0119,299.69,55,85,3.7,BR,1645466462
318,Bobrovytsya,50.75,31.3833,281.85,58,100,7.13,UA,1645466462
319,Sai Buri,6.7013,101.6168,299.05,79,57,4.13,TH,1645466463
320,Walvis Bay,-22.9575,14.5053,295.42,67,20,5.03,NA,1645466463
321,Kaifeng,34.7911,114.3483,275.21,31,100,3.47,CN,1645466463
322,Bobon,12.5246,124.5636,297.56,91,100,4.99,PH,1645466464
323,Gravdal,68.1214,13.5031,266.97,66,95,0.93,NO,1645466464
